analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,station_id,variable,baseline_total,zero_hour_ratio,peak_concentration,credibility_weight,method
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S001,borrow,250.0,0.125,0.08,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S002,borrow,267.0,0.08333333333333333,0.08614232209737828,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S003,borrow,252.0,0.08333333333333333,0.08333333333333333,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S004,borrow,234.0,0.125,0.06837606837606838,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S005,borrow,270.0,0.125,0.07407407407407407,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S006,borrow,256.0,0.20833333333333334,0.078125,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S007,borrow,257.0,0.20833333333333334,0.07782101167315175,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S008,borrow,234.0,0.2916666666666667,0.06837606837606838,0.8,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S009,borrow,179.0,0.20833333333333334,0.0893854748603352,0.738234016139044,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S010,borrow,176.0,0.16666666666666666,0.09090909090909091,0.7395959595959596,base_model
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,S011,borrow,197.0,0.125,0.09137055837563451,0.7945036661026509,base_model
